Season,Episode,Title,Person1,Person2,Start,End,Duration,Location,Type,Queer,Transactional,NonConsentual,Notes
5,9,The Tightening,Alex Vause,Piper Chapman,13:24,12:59,00:25,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
5,10,The Reverse Midas Touch,Desi Piscatella,Wes Driscoll,33:51,33:43,00:08,Flashback,Kiss/Kissing,1,0,0,
5,10,The Reverse Midas Touch,B. Stratman,Leanne Taylor,13:42,13:28,00:14,Litchfield,Hand/Finger stimulation (vagina),0,0,0,
5,10,The Reverse Midas Touch,B. Stratman,Leanne Taylor,13:11,12:51,00:20,Litchfield,Hand/Finger stimulation (vagina),0,0,0,
5,11,Breaking the Fiberboard Ceiling,"Carrie ""Big Boo"" Black",Linda Ferguson,23:22,23:16,00:06,Litchfield,Kiss/Kissing,1,0,0,
5,12,Tattoo You,Lorna Morello,Nicky Nichols,41:13,41:12,00:01,Litchfield,Kiss/Kissing,1,0,0,
5,12,Tattoo You,Lorna Morello,Nicky Nichols,41:05,41:04,00:01,Litchfield,Kiss/Kissing,1,0,0,
5,12,Tattoo You,Joe Caputo,Natalie Figueroa,13:27,13:24,00:03,Litchfield,Groping/Touching,0,0,0,Leading to sex but interrupted
5,12,Tattoo You,Alex Vause,Piper Chapman,03:12,03:08,00:04,Litchfield,Kiss/Kissing,1,0,0,
5,12,Tattoo You,Alex Vause,Piper Chapman,02:52,02:51,00:01,Litchfield,Kiss/Kissing,1,0,0,
5,13,Storm-y Weather,Lorna Morello,Nicky Nichols,46:22,46:21,00:01,Litchfield,Kiss/Kissing,1,0,0,
5,13,Storm-y Weather,"Suzanne ""Crazy Eyes"" Warren","Tasha ""Taystee"" Jefferson",25:50,25:49,00:01,Litchfield,Kiss/Kissing,1,0,0,On hand after revival
6,1,Who Knows Better Than I,Gloria Mendoza,Maria Ruiz,20:32,20:31,00:01,Litchfield,Kiss/Kissing,1,0,0,Forced by guards
6,1,Who Knows Better Than I,Gloria Mendoza,Maria Ruiz,20:05,19:54,00:11,Litchfield,Kiss/Kissing,1,0,1,Forced by guards
6,2,Sh*tstorm Coming,"Cynthia Tova ""Black Cindy"" Hayes",Curtis,44:12,43:45,00:27,Flashback,"Groping/Touching, Penetrative sex (penis)",0,0,0,
6,2,Sh*tstorm Coming,Joe Caputo,Natalie Figueroa,14:11,13:41,00:30,Outside,Penetrative sex (penis),0,0,0,
6,4,I'm the Talking Ass,Alex Vause,Piper Chapman,32:15,32:10,00:05,Litchfield,Kiss/Kissing,1,0,0,
6,4,I'm the Talking Ass,Alex Vause,Piper Chapman,32:07,32:05,00:02,Litchfield,Kiss/Kissing,1,0,0,
6,4,I'm the Talking Ass,Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",09:50,09:49,00:01,Outside,Kiss/Kissing,0,0,0,
6,4,I'm the Talking Ass,Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",09:39,09:35,00:04,Outside,Kiss/Kissing,0,0,0,
6,5,Mischief Mischief,Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",08:00,07:58,00:02,Outside,Kiss/Kissing,0,0,0,
6,6,State of the Uterus,Amber,"Dominga ""Daddy"" Duarte",22:52,22:42,00:10,Flashback,"Groping/Touching, Kiss/Kissing",1,0,0,
6,7,Changing Winds,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",05:14,05:13,00:01,Litchfield,Kiss/Kissing,1,0,0,
6,7,Changing Winds,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",05:06,05:00,00:06,Litchfield,Kiss/Kissing,1,0,0,
6,8,Gordons,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",07:09,07:08,00:01,Litchfield,Kiss/Kissing,1,0,0,
6,8,Gordons,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",06:53,06:52,00:01,Litchfield,Kiss/Kissing,1,0,0,
6,8,Gordons,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",06:33,06:26,00:07,Litchfield,Kiss/Kissing,1,0,0,
6,8,Gordons,Blanca Flores,Nicky Nichols,05:16,04:57,00:19,Litchfield,Other,1,0,0,Attempted artificial insemination
6,9,Break the String,Joe Caputo,Natalie Figueroa,52:04,52:02,00:02,Outside,Kiss/Kissing,0,0,0,
6,9,Break the String,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",13:25,13:01,00:24,Litchfield,"Kiss/Kissing, Hand/Finger stimulation (vagina)",1,0,0,
6,9,Break the String,Aleida Diaz,Rick Hopper,13:01,12:46,00:15,Outside,Penetrative sex (penis),0,0,0,Potentially transactional
6,9,Break the String,Aleida Diaz,Rick Hopper,11:45,11:44,00:01,Outside,Kiss/Kissing,0,0,0,Potentially transactional
6,10,Chocolate Chip Nookie,Aleida Diaz,Rick Hopper,58:06,58:05,00:01,Outside,Kiss/Kissing,0,0,0,Potentially transactional
6,10,Chocolate Chip Nookie,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",56:40,56:37,00:03,Litchfield,Kiss/Kissing,1,0,0,
6,10,Chocolate Chip Nookie,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",56:35,56:34,00:01,Litchfield,Groping/Touching,1,0,0,
6,10,Chocolate Chip Nookie,Barbara Denning,Unnamed Man 2,47:00,46:58,00:02,Flashback,Kiss/Kissing,0,0,0,
6,11,Well This Took a Dark Turn,Aleida Diaz,Rick Hopper,12:19,12:14,00:05,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,
6,11,Well This Took a Dark Turn,Aleida Diaz,Rick Hopper,12:06,12:03,00:03,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,
6,12,Double Trouble,Alex Vause,Piper Chapman,05:30,05:28,00:02,Litchfield,Kiss/Kissing,1,0,0,
6,13,Be Free,Alex Vause,Piper Chapman,44:54,44:52,00:02,Litchfield,Kiss/Kissing,1,0,0,
6,13,Be Free,Alex Vause,Piper Chapman,41:24,41:18,00:06,Litchfield,Kiss/Kissing,1,0,0,
